INSERT INTO InstructorGuests
(InstructorId, GuestId)
VALUES 
(1, 67),
(7, 67),
(10, 67),
(1, 68),
(7, 68),
(10, 68),
(1, 69),
(7, 69),
(10, 69),
(1, 70),
(3, 70),
(10, 70),
(1, 71),
(3, 71),
(10, 71),
(1, 72),
(3, 72),
(10, 72),
(2, 73),
(5, 73),
(2, 74),
(5, 74),
(2, 75),
(5, 75),
(2, 76),
(9, 76),
(2, 77),
(9, 77),
(2, 78),
(9, 78),
(3, 79),
(3, 80),
(3, 81),
(3, 82),
(3, 83),
(3, 84),
(3, 85),
(3, 86),
(3, 87),
(3, 88),
(3, 89),
(3, 90),
(3, 91),
(3, 92),
(3, 93),
(4, 94),
(5, 95),
(5, 96),
(6, 97),
(6, 98),
(6, 99),
(3, 100),
(3, 101),
(3, 102),
(8, 103),
(8, 104),
(8, 105),
(9, 106),
(9, 107),
(9, 108),
(9, 109),
(9, 110),
(9, 111),
(9, 112),
(10, 113),
(10, 114),
(10, 115),
(10, 116),
(10, 117),
(10, 118),
(10, 119),
(10, 120),
(10, 121),
(10, 122),
(10, 123),
(10, 124),
(10, 125),
(10, 126),
(10, 127);
